product_id,product_name,category,brand,price,cost,stock_quantity,supplier,date_added,last_sold_date,status
1,Mountain Beast,mountain,Specialized,565.79,473.91,319.57,Best Deals Inc.,5/3/2008,2/19/2007,Discontinued
2,Urban Cruiser,mountain,Cannondale,994.2,886.37,94.8,XYZ Company,3/19/2006,7/25/2009,Discontinued
3,Urban Cruiser,hybrid,Giant,387.57,602.54,714.52,ABC Suppliers,12/7/2012,7/17/2012,Available
4,Trail Blazer,BMX,Scott,452.02,141.66,956.1,Best Deals Inc.,1/29/2003,4/22/2016,Discontinued
5,Mountain Beast,hybrid,Trek,647.37,566.67,960.2,XYZ Company,7/27/2021,8/22/2013,Available
6,Trail Blazer,BMX,Giant,95.18,987.05,322.01,XYZ Company,8/6/2022,5/22/2003,Available
7,Urban Cruiser,hybrid,Bianchi,452.68,106.0,721.94,XYZ Company,4/23/2010,7/10/2016,Out of Stock
8,City Slicker,hybrid,Cannondale,171.68,122.74,719.92,123 Distributors,1/25/2018,3/10/2002,Available
9,Trail Blazer,BMX,Scott,666.5,303.64,824.78,XYZ Company,10/3/2014,3/16/2016,Available
10,Speed Demon,cruiser,Scott,562.52,74.31,776.86,ABC Suppliers,11/15/2020,11/14/2010,Available
11,Mountain Beast,hybrid,Giant,565.77,787.79,651.03,ABC Suppliers,7/20/2001,2/21/2009,Discontinued
12,Speed Demon,cruiser,Specialized,676.4,433.05,946.21,Best Deals Inc.,12/7/2015,12/17/2004,Out of Stock
13,Urban Cruiser,cruiser,Cannondale,228.53,218.92,638.49,123 Distributors,6/23/2014,11/21/2017,Available
14,Speed Demon,BMX,Bianchi,780.28,47.74,169.51,XYZ Company,6/18/2006,12/2/2016,Out of Stock
15,Trail Blazer,mountain,Trek,695.28,696.52,292.97,123 Distributors,5/8/2018,10/10/2019,Out of Stock
16,Speed Demon,mountain,Specialized,357.67,195.54,281.42,XYZ Company,11/2/2016,12/6/2022,Out of Stock
17,Trail Blazer,cruiser,Specialized,344.95,680.58,664.36,123 Distributors,7/30/2001,7/19/2002,Available
18,City Slicker,hybrid,Trek,580.13,426.92,293.86,ABC Suppliers,12/29/2000,5/2/2006,Available
19,Mountain Beast,mountain,Bianchi,619.96,593.9,300.38,123 Distributors,9/26/2009,6/21/2020,Discontinued
