Shipment_Status,Transport_Mode,Package_Type,Delivery_Region,Payment_Status,Shipment_ID,Package_Weight_kg,Shipping_Cost,Delivery_Distance_km,Quantity,Order_Date,Delivery_Date
Delayed,Truck,Pallet,Local,Paid,6836,36.2,675.54,4344,792,4/12/2021,3/17/2020
Delivered,Truck,Crate,National,Pending,1841,83.0,488.84,885,260,5/31/2022,9/3/2022
Delayed,Ship,Envelope,Local,Overdue,8534,7.1,240.12,1991,761,7/8/2021,10/20/2022
Out for Delivery,Airplane,Box,International,Paid,7016,80.7,887.5,2007,203,4/30/2022,10/4/2021
Out for Delivery,Truck,Pallet,Local,Paid,9887,92.9,711.78,2848,177,7/14/2021,1/6/2020
Delayed,Train,Crate,National,Pending,6988,10.6,423.03,2752,748,7/29/2020,11/24/2021
In Transit,Airplane,Crate,National,Pending,2782,14.0,603.2,389,892,8/25/2020,1/30/2022
Delivered,Ship,Box,Local,Overdue,1211,21.0,736.63,4300,655,7/4/2022,11/16/2022
Delayed,Airplane,Box,International,Overdue,4033,6.8,832.79,2080,931,6/24/2020,10/25/2022
Delivered,Train,Crate,International,Pending,5265,4.8,876.36,650,457,1/10/2020,8/14/2020
Delivered,Ship,Pallet,Local,Paid,1227,93.2,461.07,2805,911,6/4/2022,6/27/2022
In Transit,Airplane,Crate,Local,Overdue,8133,34.5,465.45,1709,390,5/29/2022,1/17/2020
Delayed,Airplane,Crate,International,Overdue,5126,58.4,29.21,4339,776,5/12/2021,6/22/2021
Out for Delivery,Airplane,Envelope,National,Overdue,6629,39.2,845.42,253,624,12/7/2021,10/26/2022
In Transit,Airplane,Crate,National,Pending,1842,90.2,464.07,312,395,9/17/2021,11/10/2020
In Transit,Airplane,Pallet,Local,Overdue,3342,99.8,415.07,2640,911,7/1/2021,9/13/2020
Delivered,Ship,Crate,National,Overdue,6076,87.0,235.27,4177,758,11/12/2021,1/25/2020
Out for Delivery,Airplane,Box,National,Pending,5533,95.2,854.66,210,968,11/2/2021,12/21/2021
Out for Delivery,Ship,Pallet,International,Pending,6480,59.3,9.86,4145,865,12/5/2020,9/21/2020
In Transit,Train,Pallet,National,Pending,1272,36.7,838.32,3039,414,1/4/2021,2/25/2021
In Transit,Train,Pallet,International,Pending,1324,54.3,957.29,1648,433,6/24/2022,12/30/2021
Out for Delivery,Airplane,Box,Local,Overdue,9469,29.1,73.91,2758,607,4/30/2020,2/13/2021
In Transit,Ship,Crate,Local,Overdue,6989,53.8,17.97,3520,93,6/16/2021,11/27/2020
Delayed,Train,Pallet,National,Pending,2416,35.2,16.01,1569,942,11/11/2022,2/15/2022
Delivered,Ship,Crate,National,Overdue,3863,20.5,714.32,771,478,12/20/2020,3/21/2021
In Transit,Truck,Pallet,National,Pending,6539,94.8,344.81,2695,359,1/23/2020,11/3/2022
In Transit,Ship,Crate,National,Pending,5031,50.5,646.36,3038,433,12/5/2020,8/20/2022
In Transit,Truck,Pallet,Local,Overdue,1231,76.9,35.18,135,539,6/12/2020,6/30/2022
Delayed,Train,Box,National,Paid,1780,22.2,312.56,3116,90,10/7/2021,11/3/2022
In Transit,Ship,Crate,National,Paid,8077,65.9,693.21,3838,963,2/22/2020,10/21/2022
In Transit,Train,Crate,International,Paid,3136,31.8,894.61,3703,53,1/15/2021,12/27/2022
Delayed,Ship,Envelope,Local,Paid,9670,25.1,278.76,1576,538,1/15/2021,10/30/2020
Delayed,Airplane,Envelope,Local,Paid,3846,55.9,707.97,524,282,11/22/2022,1/7/2021
Delivered,Truck,Crate,National,Pending,5881,21.1,528.01,825,331,2/26/2022,12/9/2022
In Transit,Airplane,Crate,International,Paid,2183,32.7,158.15,2098,121,8/16/2021,9/29/2021
Out for Delivery,Ship,Envelope,National,Paid,7260,9.3,828.23,1269,425,3/11/2021,10/30/2020
In Transit,Airplane,Box,International,Overdue,6887,45.8,494.5,692,769,5/20/2020,3/14/2022
Delayed,Ship,Crate,Local,Overdue,8366,35.6,516.65,4157,370,6/13/2020,12/18/2022
Delivered,Truck,Crate,National,Paid,3952,52.8,507.82,97,139,4/21/2021,1/10/2020
Delivered,Ship,Envelope,Local,Overdue,1894,2.9,325.41,192,20,4/21/2020,4/21/2022
Delivered,Train,Crate,International,Paid,2264,25.1,585.61,4801,52,12/22/2020,8/20/2020
Delayed,Train,Box,International,Pending,6291,91.3,945.78,4711,391,2/16/2021,5/12/2022
In Transit,Train,Box,International,Pending,3412,61.2,416.91,17,513,8/23/2022,2/26/2022
Delivered,Truck,Crate,Local,Paid,8939,76.8,319.69,4508,634,2/10/2021,1/16/2022
Delayed,Train,Pallet,National,Paid,7025,93.6,386.96,4402,809,4/30/2021,10/24/2020
Out for Delivery,Train,Envelope,Local,Pending,9277,45.6,543.74,1060,509,8/25/2022,10/17/2021
Delayed,Airplane,Crate,International,Overdue,3449,71.9,587.39,2102,170,5/6/2020,3/25/2021
Delayed,Train,Crate,International,Paid,6572,82.9,2.16,3313,340,11/9/2021,6/5/2020
In Transit,Train,Pallet,National,Pending,8353,63.1,335.58,4259,394,8/14/2020,6/9/2022
Delivered,Train,Crate,International,Pending,5542,17.8,226.17,2975,438,11/2/2020,3/27/2022
Delivered,Ship,Box,International,Paid,3360,83.0,756.81,4480,44,11/24/2020,7/1/2020
Delivered,Train,Envelope,International,Overdue,5261,18.5,231.06,327,182,2/11/2020,12/20/2022
Out for Delivery,Airplane,Box,National,Paid,9851,51.5,958.42,862,272,8/4/2021,12/7/2022
In Transit,Airplane,Box,International,Overdue,5524,50.3,373.05,2518,19,1/21/2020,3/2/2021
In Transit,Ship,Crate,National,Paid,2919,36.3,405.48,1585,864,9/21/2020,9/5/2022
Out for Delivery,Ship,Box,Local,Pending,5487,18.3,264.05,2997,924,6/8/2022,10/6/2022
Delayed,Airplane,Envelope,National,Overdue,1847,21.0,309.9,2350,266,8/19/2021,9/20/2022
Out for Delivery,Airplane,Box,International,Pending,1815,98.0,683.97,2867,421,5/4/2021,11/14/2022
Delayed,Airplane,Crate,International,Pending,2161,36.8,213.26,505,426,3/11/2020,8/24/2020
Out for Delivery,Ship,Crate,International,Pending,9155,26.9,651.93,4429,821,5/21/2022,2/7/2022
Delayed,Truck,Crate,National,Paid,9696,70.6,764.92,1202,862,11/15/2022,1/25/2021
In Transit,Truck,Pallet,Local,Pending,9463,42.3,913.17,1060,876,9/26/2022,7/20/2020
In Transit,Train,Envelope,International,Overdue,1259,44.7,422.4,2967,972,10/20/2022,6/11/2022
In Transit,Truck,Crate,International,Overdue,4929,0.7,254.4,1284,44,5/25/2020,9/2/2022
Out for Delivery,Ship,Box,Local,Overdue,8745,62.7,878.56,4760,175,7/4/2021,9/4/2022
Out for Delivery,Ship,Envelope,International,Paid,1387,68.6,316.38,1257,237,7/15/2020,5/7/2020
Delayed,Train,Box,National,Overdue,5576,85.2,763.65,956,4,7/21/2022,3/30/2022
In Transit,Ship,Crate,National,Pending,3165,28.2,231.9,3206,113,7/17/2020,3/2/2020
