product_id,product_name,category,brand,price,cost,stock_quantity,supplier,date_added,last_sold_date,status,gross_margin
1,Mountain Beast,mountain,Cannondale,4641.25,1574.05,607.59,Rhynyx,2/28/2018,8/13/2020,error: undefined method `first' for nil:NilClass,66.09
2,Urban Cruiser,hybrid,Giant,275.17,2141.31,612.55,Jetwire,11/24/2019,10/13/2020,error: undefined method `first' for nil:NilClass,-678.18
3,Speed Demon,road,Scott,4628.93,2661.92,301.86,Jaloo,8/29/2019,1/4/2020,error: undefined method `first' for nil:NilClass,42.49
4,Trail Blazer,road,Specialized,167.44,2145.91,95.57,Abatz,2/10/2019,2/6/2020,error: undefined method `first' for nil:NilClass,-1181.6
5,Mountain Beast,hybrid,Giant,3356.21,3248.8,771.54,Minyx,11/3/2019,7/15/2021,error: undefined method `first' for nil:NilClass,3.2
6,City Slicker,mountain,Scott,1280.48,39.38,646.63,Shuffledrive,2/7/2018,2/11/2021,error: undefined method `first' for nil:NilClass,96.92
7,City Slicker,cruiser,Giant,2087.14,2190.74,785.46,Meejo,1/16/2019,5/2/2020,error: undefined method `first' for nil:NilClass,-4.96
8,Trail Blazer,cruiser,Specialized,2790.85,2789.13,106.9,Katz,9/20/2018,12/5/2020,error: undefined method `first' for nil:NilClass,0.06
9,City Slicker,hybrid,Trek,699.88,706.37,727.84,Photobug,2/7/2019,1/16/2020,error: undefined method `first' for nil:NilClass,-0.93
10,Speed Demon,cruiser,Giant,4200.06,1154.49,884.83,Einti,11/17/2018,3/26/2021,error: undefined method `first' for nil:NilClass,72.51
11,City Slicker,mountain,Trek,1693.05,2954.52,997.54,Skipstorm,3/27/2019,1/1/2020,error: undefined method `first' for nil:NilClass,-74.51
12,Mountain Beast,BMX,Specialized,4183.37,2044.22,327.66,Dynabox,5/25/2019,11/9/2020,error: undefined method `first' for nil:NilClass,51.13
13,Trail Blazer,cruiser,Cannondale,2185.65,367.32,592.75,Browsetype,7/27/2019,4/24/2021,error: undefined method `first' for nil:NilClass,83.19
14,Speed Demon,cruiser,Scott,3578.27,2053.35,195.76,Realpoint,8/3/2019,4/5/2020,error: undefined method `first' for nil:NilClass,42.62
15,Speed Demon,hybrid,Cannondale,4154.17,304.68,661.19,Ntags,9/5/2019,9/21/2021,error: undefined method `first' for nil:NilClass,92.67
16,City Slicker,BMX,Cannondale,2332.48,335.65,903.08,Eire,8/10/2019,12/4/2020,error: undefined method `first' for nil:NilClass,85.61
17,Urban Cruiser,hybrid,Cannondale,643.49,1573.57,348.26,Yata,8/5/2019,11/2/2020,error: undefined method `first' for nil:NilClass,-144.54
18,Speed Demon,mountain,Specialized,2377.48,2783.01,831.62,Innojam,7/19/2019,5/3/2021,error: undefined method `first' for nil:NilClass,-17.06
19,Urban Cruiser,BMX,Giant,2859.97,856.15,604.31,Divanoodle,2/17/2019,10/7/2021,error: undefined method `first' for nil:NilClass,70.06
20,Urban Cruiser,mountain,Giant,2014.46,3639.57,303.31,Gevee,10/24/2019,10/8/2021,error: undefined method `first' for nil:NilClass,-80.67
21,Urban Cruiser,cruiser,Trek,3814.92,3621.43,746.18,Kanoodle,11/20/2018,11/28/2021,error: undefined method `first' for nil:NilClass,5.07
22,Mountain Beast,road,Cannondale,744.97,1871.54,647.01,Pixope,1/25/2019,11/4/2020,error: undefined method `first' for nil:NilClass,-151.22
23,Mountain Beast,cruiser,Scott,4045.63,2384.02,465.74,Skidoo,8/12/2019,7/5/2021,error: undefined method `first' for nil:NilClass,41.07
24,Trail Blazer,BMX,Trek,4431.32,277.46,735.32,Rhynoodle,4/20/2019,2/24/2021,error: undefined method `first' for nil:NilClass,93.74
25,Urban Cruiser,road,Cannondale,4517.88,2856.09,825.01,Realcube,6/27/2019,2/2/2021,error: undefined method `first' for nil:NilClass,36.78
26,Trail Blazer,mountain,Cannondale,1446.09,2346.94,875.26,Rhybox,6/21/2019,10/3/2021,error: undefined method `first' for nil:NilClass,-62.3
27,Mountain Beast,hybrid,Giant,1106.55,2745.09,766.92,Twitterworks,8/27/2018,12/4/2021,error: undefined method `first' for nil:NilClass,-148.08
28,Trail Blazer,mountain,Giant,4134.78,2027.87,489.37,Voonte,5/24/2019,8/30/2021,error: undefined method `first' for nil:NilClass,50.96
29,Mountain Beast,hybrid,Giant,3556.3,2758.33,711.85,Babbleset,3/5/2018,9/24/2021,error: undefined method `first' for nil:NilClass,22.44
30,Mountain Beast,BMX,Giant,4417.53,2263.24,415.99,Ailane,1/4/2019,8/7/2021,error: undefined method `first' for nil:NilClass,48.77
31,City Slicker,cruiser,Scott,334.89,3174.17,836.97,Meetz,5/10/2019,6/23/2021,error: undefined method `first' for nil:NilClass,-847.82
32,Mountain Beast,cruiser,Scott,1948.83,1075.3,352.75,Vidoo,10/1/2019,11/8/2021,error: undefined method `first' for nil:NilClass,44.82
33,Mountain Beast,hybrid,Specialized,2237.03,3584.01,516.33,Yakidoo,1/9/2018,8/6/2021,error: undefined method `first' for nil:NilClass,-60.21
34,Speed Demon,BMX,Specialized,1198.51,1497.71,800.15,Camido,5/29/2018,4/8/2020,error: undefined method `first' for nil:NilClass,-24.96
35,City Slicker,cruiser,Cannondale,3758.53,2994.7,12.84,Eayo,1/11/2019,7/7/2021,error: undefined method `first' for nil:NilClass,20.32
36,Mountain Beast,cruiser,Scott,1631.91,2587.81,977.25,Dynava,10/23/2019,8/9/2020,error: undefined method `first' for nil:NilClass,-58.58
37,Urban Cruiser,hybrid,Giant,1067.41,1764.19,651.8,Topdrive,10/27/2019,5/8/2021,error: undefined method `first' for nil:NilClass,-65.28
38,Speed Demon,BMX,Giant,4115.01,749.13,147.02,Skimia,8/21/2019,4/19/2021,error: undefined method `first' for nil:NilClass,81.8
39,Trail Blazer,hybrid,Scott,4715.0,2986.47,346.37,Photospace,9/12/2018,1/22/2021,error: undefined method `first' for nil:NilClass,36.66
40,Speed Demon,mountain,Scott,2472.59,795.56,106.23,Tagfeed,10/24/2019,3/6/2020,error: undefined method `first' for nil:NilClass,67.82
41,Mountain Beast,road,Cannondale,1490.42,759.94,978.23,Tanoodle,12/9/2019,5/23/2021,error: undefined method `first' for nil:NilClass,49.01
42,Mountain Beast,hybrid,Giant,2602.24,339.05,752.03,Voonte,11/10/2018,9/17/2020,error: undefined method `first' for nil:NilClass,86.97
43,City Slicker,BMX,Scott,404.58,1071.39,962.18,Ozu,12/22/2019,4/14/2020,error: undefined method `first' for nil:NilClass,-164.82
44,Mountain Beast,mountain,Specialized,3525.81,3262.5,407.06,Reallinks,1/31/2019,11/2/2020,error: undefined method `first' for nil:NilClass,7.47
45,City Slicker,road,Scott,3102.94,2610.51,459.12,Devify,1/19/2018,4/1/2021,error: undefined method `first' for nil:NilClass,15.87
46,City Slicker,BMX,Scott,1817.03,880.8,666.78,Brainbox,11/26/2019,6/12/2020,error: undefined method `first' for nil:NilClass,51.53
47,Mountain Beast,hybrid,Specialized,1867.85,2986.18,997.36,Ozu,7/10/2018,9/17/2020,error: undefined method `first' for nil:NilClass,-59.87
48,Mountain Beast,cruiser,Giant,3985.12,1655.53,522.03,Wikibox,5/10/2019,6/9/2020,error: undefined method `first' for nil:NilClass,58.46
49,Mountain Beast,hybrid,Giant,2153.14,1805.47,467.26,Agimba,10/18/2018,2/3/2020,error: undefined method `first' for nil:NilClass,16.15
50,City Slicker,hybrid,Trek,3443.41,1480.82,227.08,Zooveo,12/19/2019,6/10/2021,error: undefined method `first' for nil:NilClass,57
51,Speed Demon,BMX,Giant,2284.62,1049.76,244.18,Realfire,11/16/2019,6/9/2021,error: undefined method `first' for nil:NilClass,54.05
52,Mountain Beast,road,Cannondale,537.56,2825.17,386.49,Quinu,9/17/2019,9/4/2020,error: undefined method `first' for nil:NilClass,-425.55
53,Speed Demon,hybrid,Scott,4868.25,480.89,980.67,Leenti,8/8/2019,10/2/2021,error: undefined method `first' for nil:NilClass,90.12
54,Trail Blazer,BMX,Trek,1433.66,1924.86,17.98,Yodo,2/18/2018,2/10/2021,error: undefined method `first' for nil:NilClass,-34.26
55,Speed Demon,mountain,Specialized,4211.26,1514.22,586.56,Katz,2/16/2019,9/26/2020,error: undefined method `first' for nil:NilClass,64.04
56,Trail Blazer,hybrid,Cannondale,1681.91,3286.69,73.79,Topiclounge,10/12/2018,10/29/2021,error: undefined method `first' for nil:NilClass,-95.41
57,Speed Demon,BMX,Scott,4324.96,2262.08,413.53,Jaxnation,6/3/2018,9/25/2020,error: undefined method `first' for nil:NilClass,47.7
58,Trail Blazer,BMX,Giant,3253.6,585.99,569.11,Rhynoodle,3/5/2018,12/23/2020,error: undefined method `first' for nil:NilClass,81.99
59,Urban Cruiser,road,Cannondale,1468.22,1786.42,892.5,Babbleset,2/28/2018,9/13/2020,error: undefined method `first' for nil:NilClass,-21.67
60,Mountain Beast,mountain,Trek,1654.7,979.81,441.03,Zoovu,11/8/2019,9/1/2021,error: undefined method `first' for nil:NilClass,40.79
61,Trail Blazer,hybrid,Trek,1583.72,1785.22,719.85,Ozu,7/5/2019,6/6/2020,error: undefined method `first' for nil:NilClass,-12.72
62,Speed Demon,mountain,Giant,4780.3,994.03,493.62,Photolist,5/25/2019,8/14/2020,error: undefined method `first' for nil:NilClass,79.21
63,Mountain Beast,BMX,Giant,3063.62,2811.29,519.7,Aibox,9/1/2019,8/16/2020,error: undefined method `first' for nil:NilClass,8.24
64,Mountain Beast,mountain,Cannondale,977.57,3297.0,721.44,Yacero,10/30/2019,4/28/2021,error: undefined method `first' for nil:NilClass,-237.26
65,Trail Blazer,hybrid,Cannondale,816.5,2185.48,166.51,Wikizz,7/18/2018,7/17/2020,error: undefined method `first' for nil:NilClass,-167.66
66,Urban Cruiser,road,Scott,1443.54,2732.85,48.89,Einti,9/4/2018,3/10/2020,error: undefined method `first' for nil:NilClass,-89.32
67,Trail Blazer,mountain,Scott,2136.56,3762.08,478.06,Yacero,6/25/2018,8/15/2020,error: undefined method `first' for nil:NilClass,-76.08
68,Mountain Beast,hybrid,Giant,1589.52,3768.74,275.91,Janyx,9/28/2018,2/16/2021,error: undefined method `first' for nil:NilClass,-137.1
69,Trail Blazer,mountain,Giant,2636.76,2856.19,668.58,Jaxworks,2/16/2018,8/8/2021,error: undefined method `first' for nil:NilClass,-8.32
70,Mountain Beast,BMX,Cannondale,1157.9,1025.73,69.09,Yombu,5/4/2019,3/12/2021,error: undefined method `first' for nil:NilClass,11.41
71,Urban Cruiser,BMX,Specialized,4930.71,241.62,780.05,Ooba,1/13/2019,11/16/2021,error: undefined method `first' for nil:NilClass,95.1
72,Trail Blazer,hybrid,Scott,743.23,1230.1,997.8,Gigaclub,3/19/2019,7/26/2021,error: undefined method `first' for nil:NilClass,-65.51
73,Trail Blazer,BMX,Trek,1604.34,3722.64,794.66,Trupe,10/23/2019,7/16/2021,error: undefined method `first' for nil:NilClass,-132.04
