product_id,product_name,category,brand,price,cost,stock_quantity,supplier,date_Added,last_sold_date,status
1,MegaGizmo,cruiser,Trek,5.99,443.79,958,Best Deals Inc.,9/9/2016,4/10/2026,Available
2,UltraThing,cruiser,Giant,24.99,764.6,856,Best Deals Inc.,10/19/2012,10/16/2025,Discontinued
3,MegaGizmo,mountain,Cannondale,4.19,860.51,271,Best Deals Inc.,7/29/2017,5/10/2025,Out of Stock
4,TechMaster,mountain,Trek,3.99,554.38,54,XYZ Company,4/11/2021,9/18/2025,Out of Stock
5,TechMaster,mountain,Giant,2.49,134.79,686,XYZ Company,6/5/2019,3/30/2026,Available
6,UltraThing,BMX,Giant,249.99,360.28,480,ABC Suppliers,8/5/2012,3/27/2026,Available
7,PowerBlaster,BMX,Scott,3.99,726.12,343,ABC Suppliers,10/13/2010,1/31/2026,Discontinued
8,SuperWidget,cruiser,Scott,8.99,419.99,741,123 Distributors,12/2/2020,9/11/2025,Available
9,MegaGizmo,cruiser,Giant,18.99,394.37,106,Best Deals Inc.,12/25/2014,8/27/2025,Out of Stock
10,TechMaster,road,Specialized,39.99,291.97,666,Best Deals Inc.,2/16/2015,9/13/2025,Out of Stock
11,PowerBlaster,mountain,Scott,199.99,589.61,51,ABC Suppliers,2/26/2018,2/25/2026,Available
12,TechMaster,hybrid,Giant,24.99,832.67,930,123 Distributors,5/3/2017,11/27/2025,Available
13,MegaGizmo,hybrid,Scott,24.99,624.15,552,Best Deals Inc.,5/22/2014,7/9/2025,Discontinued
14,UltraThing,cruiser,Scott,34.99,525.27,751,123 Distributors,3/17/2017,8/20/2025,Discontinued
15,SuperWidget,road,Bianchi,14.99,640.81,708,123 Distributors,4/17/2015,2/24/2026,Available
16,PowerBlaster,mountain,Cannondale,69.99,469.52,6,Best Deals Inc.,11/12/2021,5/30/2025,Discontinued
17,SuperWidget,hybrid,Trek,34.99,157.49,479,123 Distributors,8/27/2021,12/14/2025,Available
18,TechMaster,BMX,Giant,12.99,989.2,931,ABC Suppliers,4/24/2021,4/3/2026,Available
19,TechMaster,hybrid,Specialized,44.99,238.09,338,ABC Suppliers,1/26/2017,12/30/2025,Available
20,TechMaster,road,Giant,19.99,284.39,42,123 Distributors,2/21/2013,5/17/2025,Out of Stock
21,MegaGizmo,mountain,Giant,19.99,461.31,113,ABC Suppliers,9/23/2011,9/21/2025,Out of Stock
22,UltraThing,BMX,Giant,29.99,989.0,321,123 Distributors,2/2/2017,10/18/2025,Out of Stock
23,SuperWidget,BMX,Bianchi,3.99,628.18,503,Best Deals Inc.,7/27/2016,1/7/2026,Discontinued
24,UltraThing,hybrid,Scott,14.99,379.11,282,XYZ Company,8/2/2010,7/8/2025,Out of Stock
25,MegaGizmo,mountain,Cannondale,16.99,435.78,309,Best Deals Inc.,2/8/2015,2/26/2026,Out of Stock
26,MegaGizmo,mountain,Giant,359.99,200.64,21,Best Deals Inc.,7/22/2017,6/26/2025,Out of Stock
27,MegaGizmo,mountain,Trek,54.99,56.37,111,XYZ Company,1/29/2017,11/7/2025,Out of Stock
28,TechMaster,BMX,Giant,3.29,519.35,145,123 Distributors,8/1/2011,2/11/2026,Available
29,PowerBlaster,BMX,Bianchi,4.99,461.83,998,Best Deals Inc.,1/5/2014,6/18/2025,Available
30,UltraThing,mountain,Giant,5.49,153.36,793,XYZ Company,6/5/2010,6/20/2025,Available
31,TechMaster,cruiser,Trek,2.59,983.64,959,XYZ Company,11/24/2013,3/16/2026,Out of Stock
32,UltraThing,cruiser,Cannondale,2.89,468.35,905,Best Deals Inc.,2/4/2011,12/13/2025,Out of Stock
33,PowerBlaster,BMX,Giant,79.99,517.06,843,XYZ Company,9/4/2018,5/9/2025,Available
34,MegaGizmo,BMX,Cannondale,39.99,370.39,973,XYZ Company,7/25/2018,12/24/2025,Available
35,UltraThing,BMX,Specialized,34.99,875.28,228,123 Distributors,7/15/2014,5/30/2025,Discontinued
36,PowerBlaster,hybrid,Giant,3.49,896.48,605,123 Distributors,12/5/2012,6/2/2025,Out of Stock
37,UltraThing,mountain,Cannondale,4.99,579.56,586,123 Distributors,6/11/2010,4/27/2026,Discontinued
38,UltraThing,road,Giant,11.99,978.76,285,Best Deals Inc.,4/2/2010,3/17/2026,Available
39,PowerBlaster,road,Trek,59.99,365.59,533,123 Distributors,12/20/2020,7/26/2025,Out of Stock
40,PowerBlaster,BMX,Bianchi,10.99,294.49,68,ABC Suppliers,1/4/2017,12/16/2025,Out of Stock
41,TechMaster,BMX,Giant,39.99,633.97,22,ABC Suppliers,9/20/2021,9/21/2025,Available
42,PowerBlaster,cruiser,Trek,2.99,274.7,436,123 Distributors,3/19/2014,9/21/2025,Available
43,MegaGizmo,road,Cannondale,39.99,281.84,323,Best Deals Inc.,5/13/2012,7/23/2025,Available
44,UltraThing,BMX,Trek,29.99,79.3,884,XYZ Company,3/18/2013,4/5/2026,Discontinued
45,UltraThing,hybrid,Specialized,24.99,893.31,118,ABC Suppliers,7/8/2018,7/17/2025,Out of Stock
46,PowerBlaster,hybrid,Giant,22.99,763.5,835,123 Distributors,2/9/2017,8/9/2025,Out of Stock
47,SuperWidget,cruiser,Scott,9.99,334.62,317,123 Distributors,7/7/2012,11/1/2025,Available
48,TechMaster,mountain,Specialized,39.99,596.71,257,123 Distributors,11/10/2020,1/25/2026,Discontinued
49,PowerBlaster,hybrid,Specialized,2.99,145.09,802,123 Distributors,12/20/2015,11/15/2025,Discontinued
50,UltraThing,cruiser,Specialized,39.99,951.05,948,XYZ Company,8/20/2018,8/5/2025,Available
51,UltraThing,road,Giant,2.49,386.5,882,123 Distributors,10/4/2014,5/30/2025,Discontinued
52,MegaGizmo,mountain,Specialized,5.99,614.16,246,Best Deals Inc.,10/16/2012,8/26/2025,Out of Stock
53,PowerBlaster,mountain,Specialized,19.99,128.34,169,Best Deals Inc.,6/30/2020,12/24/2025,Out of Stock
54,PowerBlaster,road,Scott,34.99,703.39,433,ABC Suppliers,7/27/2019,5/8/2025,Available
55,TechMaster,mountain,Cannondale,2.99,27.5,180,123 Distributors,5/21/2013,5/12/2025,Discontinued
56,SuperWidget,cruiser,Scott,7.99,171.71,634,ABC Suppliers,7/3/2021,1/21/2026,Available
57,MegaGizmo,hybrid,Trek,39.99,149.24,708,Best Deals Inc.,3/21/2016,6/27/2025,Available
58,MegaGizmo,BMX,Specialized,29.99,349.3,344,123 Distributors,4/27/2019,12/30/2025,Available
59,PowerBlaster,cruiser,Scott,1.99,847.72,213,123 Distributors,8/1/2019,1/28/2026,Discontinued
60,MegaGizmo,road,Giant,29.99,644.15,214,XYZ Company,8/20/2016,7/30/2025,Available
61,PowerBlaster,cruiser,Bianchi,39.99,191.01,971,Best Deals Inc.,10/30/2021,5/3/2025,Available
62,MegaGizmo,hybrid,Cannondale,19.99,165.89,256,XYZ Company,5/13/2012,9/20/2025,Discontinued
63,PowerBlaster,BMX,Bianchi,26.99,700.1,864,ABC Suppliers,9/26/2020,5/30/2025,Discontinued
64,MegaGizmo,hybrid,Specialized,29.99,384.23,716,XYZ Company,1/11/2021,4/21/2026,Available
65,SuperWidget,BMX,Specialized,29.99,15.92,679,ABC Suppliers,7/19/2011,10/13/2025,Available
66,UltraThing,hybrid,Scott,19.99,585.7,572,Best Deals Inc.,5/29/2011,2/13/2026,Available
67,MegaGizmo,hybrid,Giant,59.99,777.07,75,123 Distributors,2/23/2011,6/3/2025,Out of Stock
68,UltraThing,cruiser,Bianchi,5.49,431.15,943,Best Deals Inc.,4/10/2014,7/11/2025,Available
69,TechMaster,hybrid,Scott,89.99,596.46,427,ABC Suppliers,11/12/2021,4/14/2026,Available
70,PowerBlaster,cruiser,Cannondale,14.99,660.76,893,ABC Suppliers,1/19/2017,9/7/2025,Available
71,TechMaster,BMX,Giant,6.99,851.43,684,Best Deals Inc.,3/23/2021,9/6/2025,Discontinued
72,MegaGizmo,road,Scott,39.99,338.77,588,XYZ Company,7/1/2011,6/2/2025,Out of Stock
73,MegaGizmo,BMX,Bianchi,8.99,34.68,138,123 Distributors,4/19/2018,10/23/2025,Out of Stock
74,MegaGizmo,mountain,Scott,3.49,992.7,905,ABC Suppliers,12/5/2018,2/9/2026,Available
75,TechMaster,road,Cannondale,39.99,264.34,758,Best Deals Inc.,1/5/2013,9/2/2025,Discontinued
76,SuperWidget,mountain,Cannondale,5.99,578.83,569,123 Distributors,4/10/2019,7/6/2025,Out of Stock
77,UltraThing,cruiser,Bianchi,7.99,747.39,767,ABC Suppliers,3/10/2013,7/9/2025,Available
78,PowerBlaster,mountain,Bianchi,2.99,716.06,143,123 Distributors,4/9/2010,2/21/2026,Discontinued
79,PowerBlaster,hybrid,Scott,79.99,69.65,705,123 Distributors,2/17/2020,6/26/2025,Discontinued
80,PowerBlaster,road,Giant,49.99,965.21,610,XYZ Company,4/28/2014,8/3/2025,Out of Stock
81,PowerBlaster,hybrid,Trek,89.99,229.18,742,XYZ Company,5/1/2013,5/20/2025,Available
82,MegaGizmo,mountain,Bianchi,3.29,803.26,254,123 Distributors,8/25/2012,7/9/2025,Available
83,PowerBlaster,hybrid,Specialized,3.49,283.09,163,Best Deals Inc.,1/20/2018,3/21/2026,Discontinued
84,SuperWidget,BMX,Specialized,24.99,538.65,447,Best Deals Inc.,12/31/2015,3/9/2026,Discontinued
85,TechMaster,cruiser,Cannondale,79.99,463.62,411,XYZ Company,12/20/2021,6/10/2025,Out of Stock
86,MegaGizmo,mountain,Scott,39.99,274.8,837,Best Deals Inc.,9/12/2010,5/30/2025,Out of Stock
87,UltraThing,cruiser,Trek,19.99,659.32,636,ABC Suppliers,5/31/2011,12/16/2025,Discontinued
88,PowerBlaster,mountain,Trek,249.99,367.49,830,ABC Suppliers,9/21/2013,8/30/2025,Out of Stock
89,MegaGizmo,hybrid,Bianchi,2.99,849.11,849,Best Deals Inc.,8/12/2019,5/14/2025,Available
90,PowerBlaster,hybrid,Cannondale,15.99,176.08,148,XYZ Company,11/3/2013,8/17/2025,Out of Stock
91,UltraThing,BMX,Bianchi,34.99,883.38,196,123 Distributors,8/28/2017,2/4/2026,Available
92,SuperWidget,BMX,Bianchi,35,877.03,778,123 Distributors,10/21/2013,6/5/2025,Out of Stock
93,TechMaster,BMX,Scott,9.99,426.44,403,123 Distributors,5/10/2015,2/17/2026,Out of Stock
94,PowerBlaster,cruiser,Trek,24.99,673.65,157,ABC Suppliers,5/21/2021,3/19/2026,Discontinued
