Crop_Type,Region,Soil_Type,Farming_Method,Fertilizer_Used,Area_Planted_Hectares,Yield_Tons_Per_Hectare,Total_Harvest_Tons,Rainfall_mm,Labor_Hours,Planting_Date,Harvest_Date
Rice,West,Silt,Conservation,Compost,309.62,4.12,1275.63,494.8,769,2025-05-03,2025-09-16
Barley,West,Sandy,Organic,Phosphorus-based,342.46,2.27,777.38,554.5,4571,2025-05-24,2025-09-11
Soybeans,West,Clay,Conservation,Compost,165.6,8.46,1400.98,764.6,842,2025-04-08,2025-08-31
Barley,West,Loam,Organic,Phosphorus-based,425.57,7.75,3298.17,452.3,1066,2025-05-23,2025-10-25
Barley,Midwest,Peat,Organic,Compost,474.11,5.86,2778.28,1115.3,407,2025-05-11,2025-10-06
Corn,Midwest,Peat,Conventional,None,443.58,5.93,2630.43,465.7,2238,2025-04-11,2025-07-16
Soybeans,South,Loam,Conventional,None,372.14,9.74,3624.64,1095.8,3564,2025-06-09,2025-10-25
Soybeans,North,Loam,Conventional,Nitrogen-based,145.96,3.55,518.16,303.5,4997,2025-03-09,2025-06-22
Soybeans,West,Clay,Mixed,Potassium-based,147.99,10.11,1496.18,856.6,209,2025-03-25,2025-07-09
Barley,South,Sandy,Mixed,Compost,482.05,8.31,4005.84,1107.0,3732,2025-05-28,2025-11-17
Rice,North,Peat,Conventional,Nitrogen-based,15.04,5.9,88.74,368.7,4535,2025-06-05,2025-11-28
Soybeans,East,Clay,Mixed,Potassium-based,360.86,6.31,2277.03,1168.3,2015,2025-03-02,2025-08-13
Barley,Midwest,Sandy,Conservation,Compost,356.06,4.19,1491.89,652.9,4363,2025-03-19,2025-07-20
Corn,North,Clay,Conservation,Phosphorus-based,315.12,9.4,2962.13,1145.7,656,2025-06-18,2025-10-18
Rice,East,Peat,Mixed,Potassium-based,495.15,6.89,3411.58,876.8,204,2025-03-20,2025-07-13
Corn,North,Loam,Mixed,None,162.82,4.87,792.93,501.6,2147,2025-06-14,2025-11-16
Rice,Midwest,Loam,Conservation,Nitrogen-based,176.59,7.76,1370.34,388.3,245,2025-06-13,2025-11-12
Barley,Midwest,Sandy,Organic,Potassium-based,48.68,11.96,582.21,503.7,2863,2025-06-14,2025-12-07
