Number_of_Customers_per_Day_(people),Average_Gaming_Session_Length_(hours),Snack_and_Drink_Sales_(PHP),Electricity_Consumption_(kWh),Daily_Revenue_(PHP)
142,4.93,4668.35,147.05,14117.89
91,2.87,3429.85,116.22,9148.95
132,4.44,4617.32,197.5,13814.19
54,3.72,4325.17,186.66,9554.59
146,2.8,2522.53,232.34,11781.82
111,1.05,929.35,139.27,6591.33
100,4.77,2168.68,133.71,8677.14
60,3.25,3509.79,117.02,8303.09
142,2.54,3496.65,128.13,10595.76
122,1.06,3160.84,202.78,10387.49
126,1.92,1736.25,168.84,9755.59
114,1.96,3025.6,94.28,9369.49
114,3.73,2223.17,135.86,9222.53
127,3.44,4872.7,134.31,11955.6
139,4.33,4320.11,233.19,13932.2
143,1.69,3747.78,236.7,12528.96
63,2.56,1561.93,112.58,5894.63
42,1.73,1652.31,299.5,6911.23
61,4.02,681.95,138.69,6302.27
92,2.7,3697.98,294.86,11666.36
41,1.83,999.01,170.43,5031.5
127,3.27,2477.01,87.27,9704.72
147,1.13,1407.74,155.92,9453.33
69,4.37,4530.94,219.56,9501.54
77,2.8,2639.17,229.76,8733.66
41,2.58,3034.74,196.81,7045.89
103,4.71,3629.82,178.51,10313.38
99,3.91,1126.99,201.64,8438.27
60,2.31,3219.88,210.39,8761.1
72,3.28,2929.28,97.79,7439.4
115,3.08,1413.78,161.32,8336.01
97,4.84,4742.84,133.28,11946.26
61,4.38,3194.89,256.69,9524.04
147,3.99,3626.53,183.47,14273.68
128,3.16,4462.11,296.35,12593.41
88,3.35,3309.59,167.74,9813.24
130,4.86,1830.35,259.62,11433.22
98,3.43,974.72,255.64,8562.51
81,2.1,2554.41,113.16,8039.51
131,2.19,1482.98,191.8,9515.72
99,1.66,2374.29,233.08,8069.31
119,1.06,4474.76,268.84,11480.33
54,2.69,1959.55,151.71,7030.99
101,2.58,1049.4,128.45,8006.07
101,2.17,2103.34,236.45,8902.55
86,1.06,4580.73,258.09,10680.18
101,1.8,1724.6,156.71,9372.79
90,3.85,3414.61,101.16,9264.34
147,4.16,502.34,286.92,10812.67
94,3.42,2086.56,167.47,8739.96
