harvest_date,harvest_metric_tons
1982-01-01,2473.85
1982-02-01,2558.85
1982-03-01,3651.69
1982-04-01,5070.56
1982-05-01,5568.05
1982-06-01,6385.81
1982-07-01,7327.72
1982-08-01,6761.36
1982-09-01,5535.68
1982-10-01,4802.4
1982-11-01,3362.8
1982-12-01,2569.24
1983-01-01,2534.69
1983-02-01,2087.6
1983-03-01,2971.28
1983-04-01,4490.7
1983-05-01,5445.51
1983-06-01,6727.74
1983-07-01,6607.19
1983-08-01,6148.45
1983-09-01,6362.98
1983-10-01,4683.48
1983-11-01,3698.63
1983-12-01,2383.58
1984-01-01,2409.47
1984-02-01,2946.07
1984-03-01,3322.15
1984-04-01,4968.99
1984-05-01,5739.78
1984-06-01,6665.66
1984-07-01,6864.4
1984-08-01,7441.05
1984-09-01,5995.28
1984-10-01,4542.3
1984-11-01,4112.89
1984-12-01,2604.95
1985-01-01,2823.1
1985-02-01,2371.36
1985-03-01,3410.13
1985-04-01,5056.4
1985-05-01,6358.46
1985-06-01,6977.73
1985-07-01,7184.52
1985-08-01,6837.37
1985-09-01,5632.52
1985-10-01,4810.55
1985-11-01,3813.78
1985-12-01,3552.24
1986-01-01,3020.27
1986-02-01,2590.18
1986-03-01,4138.43
1986-04-01,5002.72
1986-05-01,6013.08
1986-06-01,7281.84
1986-07-01,7735.85
1986-08-01,7418.7
1986-09-01,6006.27
1986-10-01,5104.28
1986-11-01,4240.94
1986-12-01,3673.68
1987-01-01,2882.29
1987-02-01,3292.26
1987-03-01,3787.78
1987-04-01,4868.83
1987-05-01,6684.38
1987-06-01,7692.44
1987-07-01,7499.8
1987-08-01,7593.99
1987-09-01,6576.57
1987-10-01,5136.71
1987-11-01,4401.49
1987-12-01,4020.56
1988-01-01,3187.46
1988-02-01,4054.87
1988-03-01,3408.09
1988-04-01,5725.17
1988-05-01,6580.47
1988-06-01,7263.1
1988-07-01,7707.12
1988-08-01,6697.11
1988-09-01,6523.11
1988-10-01,5637.49
1988-11-01,4942.26
1988-12-01,3450.85
1989-01-01,3067.03
1989-02-01,3481.63
1989-03-01,4795.39
1989-04-01,5702.56
1989-05-01,6514.58
1989-06-01,7697.4
1989-07-01,7858.98
1989-08-01,7881.78
1989-09-01,6504.28
1989-10-01,5547.82
1989-11-01,4437.76
1989-12-01,3270.01
1990-01-01,3603.64
1990-02-01,3898.61
1990-03-01,4626.79
1990-04-01,5655.39
1990-05-01,5154.62
1990-06-01,7520.53
1990-07-01,7855.05
1990-08-01,7411.96
1990-09-01,6843.55
1990-10-01,5953.92
1990-11-01,5385.17
1990-12-01,3993.35
1991-01-01,3740.14
1991-02-01,3931.19
1991-03-01,4103.43
1991-04-01,5878.22
1991-05-01,7021.08
1991-06-01,8679.89
1991-07-01,8057.67
1991-08-01,7948.3
1991-09-01,7037.85
1991-10-01,5553.46
1991-11-01,5274.99
1991-12-01,4345.42
1992-01-01,4076.86
1992-02-01,3788.96
1992-03-01,5415.98
1992-04-01,5546.85
1992-05-01,7355.4
1992-06-01,8734.42
1992-07-01,7928.31
1992-08-01,7794.55
1992-09-01,7234.88
1992-10-01,5936.28
1992-11-01,3282.27
1992-12-01,4256.24
1993-01-01,3578.19
1993-02-01,4423.0
1993-03-01,4753.2
1993-04-01,6729.98
1993-05-01,7025.86
1993-06-01,8005.03
1993-07-01,8709.73
1993-08-01,7711.95
1993-09-01,7429.61
1993-10-01,6720.0
1993-11-01,4612.38
1993-12-01,4446.87
1994-01-01,4190.96
1994-02-01,4680.88
1994-03-01,4792.07
1994-04-01,5875.34
1994-05-01,7632.68
1994-06-01,8371.7
1994-07-01,8662.67
1994-08-01,8414.01
1994-09-01,7261.99
1994-10-01,6493.79
1994-11-01,5427.58
1994-12-01,4282.22
1995-01-01,4903.02
1995-02-01,3523.09
1995-03-01,4958.04
1995-04-01,6717.29
1995-05-01,7258.86
1995-06-01,8693.24
1995-07-01,9130.51
1995-08-01,8155.52
1995-09-01,7987.18
1995-10-01,6706.97
1995-11-01,5762.72
1995-12-01,5346.12
1996-01-01,4314.11
1996-02-01,4443.44
1996-03-01,5213.67
1996-04-01,6351.97
1996-05-01,7723.01
1996-06-01,8687.16
1996-07-01,8971.84
1996-08-01,8882.27
1996-09-01,6604.55
1996-10-01,7221.24
1996-11-01,5532.37
1996-12-01,5784.3
1997-01-01,4768.98
1997-02-01,4557.24
1997-03-01,5300.19
1997-04-01,6956.37
1997-05-01,7821.79
1997-06-01,8967.66
1997-07-01,9190.63
1997-08-01,8717.27
1997-09-01,7653.62
1997-10-01,6332.3
1997-11-01,5618.72
1997-12-01,5281.98
1998-01-01,3574.93
1998-02-01,4571.24
1998-03-01,5885.61
1998-04-01,7072.36
1998-05-01,7740.65
1998-06-01,8921.56
1998-07-01,9195.37
1998-08-01,8492.72
1998-09-01,8225.23
1998-10-01,7208.77
1998-11-01,6304.07
1998-12-01,5501.07
1999-01-01,4367.82
1999-02-01,4829.01
1999-03-01,6155.26
1999-04-01,7267.33
1999-05-01,8380.27
1999-06-01,10366.21
1999-07-01,8324.81
1999-08-01,9440.2
1999-09-01,8583.9
1999-10-01,7390.49
1999-11-01,4764.66
1999-12-01,5547.88
2000-01-01,4729.51
2000-02-01,5224.36
2000-03-01,4755.12
2000-04-01,7266.16
2000-05-01,9160.13
2000-06-01,8514.21
2000-07-01,9715.19
2000-08-01,8628.31
2000-09-01,8234.82
2000-10-01,7693.63
2000-11-01,6247.5
2000-12-01,5055.03
2001-01-01,4899.64
2001-02-01,5695.1
2001-03-01,6019.37
2001-04-01,7463.26
2001-05-01,8515.95
2001-06-01,9089.7
2001-07-01,9175.38
2001-08-01,9564.63
2001-09-01,7841.2
2001-10-01,6327.76
